,Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,year
42,Motorola Moto Z2 Force,Motorola,Moto Z2 Force,2730,5.5,Yes,1440,2560,8,6000,64,12,5,Android,Yes,Yes,Yes,1,Yes,Yes,20999,720.00 ,
43,HTC U11,HTC,U11,3000,5.5,Yes,1440,2560,8,6000,128,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,53990,649.00 ,
44,Nokia 8,Nokia,8,3090,5.3,Yes,1440,2560,8,4000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,14994,700.00 ,
45,Samsung Galaxy S8+,Samsung,Galaxy S8+,3500,6.2,Yes,1440,2960,8,4000,64,12,8,Android,Yes,Yes,Yes,1,Yes,Yes,30000,850.00 ,
46,Samsung Galaxy S8,Samsung,Galaxy S8,3000,5.8,Yes,1440,2960,8,4000,64,12,8,Android,Yes,Yes,Yes,1,Yes,Yes,26994,750.00 ,
47,LG G6,LG,G6,3300,5.7,Yes,1440,2880,1,3000,32,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,23990,650.00 ,
48,OnePlus 3T,OnePlus,3T,3400,5.5,Yes,1080,1920,4,6000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,19999,439.00 ,
49,Samsung Galaxy C9 Pro,Samsung,Galaxy C9 Pro,4000,6,Yes,1080,1920,8,6000,64,16,16,Android,Yes,Yes,Yes,2,No,Yes,16999,470.00 ,
50,Google Pixel XL,Google,Pixel XL,3450,5.5,Yes,1440,2560,4,4000,32,12.3,8,Android,Yes,Yes,Yes,1,Yes,Yes,30990,769.00 ,
51,Apple iPhone 7 Plus,Apple,iPhone 7 Plus,2900,5.5,Yes,1080,1920,4,3000,32,12,7,iOS,Yes,Yes,Yes,1,Yes,Yes,34999,769.00 ,
52,Apple iPhone 7,Apple,iPhone 7,1960,4.7,Yes,750,1334,4,2000,32,12,7,iOS,Yes,Yes,Yes,1,Yes,Yes,27999,649.00 ,
53,Honor 8,Honor,8,3000,5.2,Yes,1080,1920,8,4000,32,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,20246,399.00 ,
54,OnePlus 3,OnePlus,3,3000,5.5,Yes,1080,1920,4,6000,64,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,22999,399.00 ,
55,Asus ZenFone 3 Deluxe (ZS570KL),Asus,ZenFone 3 Deluxe (ZS570KL),3000,5.7,Yes,1080,1920,4,6000,256,23,8,Android,Yes,Yes,Yes,2,Yes,Yes,44999,499.00 ,
56,Xiaomi Mi 5,Xiaomi,Mi 5,3000,5.15,Yes,1080,1920,4,3000,32,16,4,Android,Yes,Yes,Yes,2,Yes,Yes,24999,305.00 ,
57,Samsung Galaxy S7 Edge,Samsung,Galaxy S7 Edge,3600,5.5,Yes,1440,2560,8,4000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,39996,799.00 ,
58,Samsung Galaxy S7,Samsung,Galaxy S7,3000,5.1,Yes,1440,2560,8,4000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,23999,669.00 ,
59,Motorola Moto X Force,Motorola,Moto X Force,3760,5.4,Yes,1440,2560,8,3000,32,21,5,Android,Yes,Yes,Yes,1,Yes,Yes,6994,624.00 ,
60,Google Nexus 6P,Huawei,Google Nexus 6P,3450,5.7,Yes,1440,2560,8,3000,32,12.3,8,Android,Yes,Yes,Yes,1,Yes,Yes,42998,499.00 ,
61,Apple iPhone 6s Plus,Apple,iPhone 6s Plus,2750,5.5,Yes,1080,1920,1,2000,16,12,5,iOS,Yes,Yes,Yes,1,Yes,Yes,25990,749.00 ,
62,Yu Yureka Plus,Yu,reka Plus,2500,5.5,Yes,1080,1920,8,2000,16,13,5,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,5995,155.00 ,
63,Samsung Galaxy A8,Samsung,Galaxy A8,3050,5.7,Yes,1080,1920,8,2000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,7299,500.00 ,
64,Samsung Galaxy S6,Samsung,Galaxy S6,2550,5.1,Yes,1440,2560,8,3000,32,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,25999,600.00 ,
65,Yu Yureka,Yu,reka,2500,5.5,Yes,720,1280,8,2000,16,13,5,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,3999,140.00 ,
66,Xiaomi Redmi Note,Xiaomi,Redmi Note,3100,5.5,Yes,720,1280,8,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,No,7999,130.00 ,
67,Realme C3,Realme,C3,5000,6.52,Yes,720,1600,8,3000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,6999,100.00 ,
68,Poco X2,Poco,X2,4500,6.67,Yes,1080,2400,8,6000,64,64,20,Android,Yes,Yes,Yes,2,Yes,Yes,15999,225.00 ,
69,Samsung Galaxy S10 Lite,Samsung,Galaxy S10 Lite,4500,6.7,Yes,1080,2400,8,8000,128,48,32,Android,Yes,Yes,Yes,1,No,No,39999,650.00 ,
70,Realme 5i,Realme,5i,5000,6.52,Yes,720,1600,8,4000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,8999,120.00 ,
71,Samsung Galaxy Note 10 Lite,Samsung,Galaxy Note 10 Lite,4500,6.7,Yes,1080,2400,8,6000,128,12,32,Android,Yes,Yes,Yes,1,No,No,38999,600.00 ,
72,Vivo V17,Vivo,V17,4500,6.44,Yes,1080,2400,8,8000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,21150,350.00 ,
73,Vivo U20,Vivo,U20,5000,6.53,Yes,1080,2340,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,10990,175.00 ,
74,Realme 5s,Realme,5s,5000,6.5,Yes,720,1600,8,4000,64,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,9999,140.00 ,
75,Realme X2,Realme,X2,4000,6.4,Yes,1080,2340,8,4000,64,64,32,Android,Yes,Yes,Yes,2,Yes,Yes,16999,225.00 ,
76,Vivo V17 Pro,Vivo,V17 Pro,4100,6.44,Yes,1080,2400,8,8000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,26220,420.00 ,
77,Nubia Red Magic 3S,Nubia,Red Magic 3S,5000,6.65,Yes,1080,2340,8,8000,128,48,16,Android,Yes,Yes,No,2,Yes,Yes,47999,479.00 ,
78,Samsung Galaxy M30s,Samsung,Galaxy M30s,6000,6.4,Yes,1080,2340,8,4000,64,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,12999,210.00 ,
79,Vivo Z1x,Vivo,Z1x,4500,6.38,Yes,1080,2340,8,4000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,15990,240.00 ,
80,Oppo Reno 2Z,Oppo,Reno 2Z,4000,6.53,Yes,1080,2340,8,8000,256,48,16,Android,Yes,Yes,No,1,No,No,23100,420.00 ,
81,Realme XT,Realme,XT,4000,6.4,Yes,1080,2340,8,4000,64,64,16,Android,Yes,Yes,Yes,2,Yes,Yes,14999,200.00 ,
82,Redmi Note 8 Pro,Xiaomi,Redmi Note 8 Pro,4500,6.53,Yes,1080,2340,8,6000,64,64,20,Android,Yes,Yes,Yes,2,Yes,Yes,13999,200.00 ,
83,Nokia 7.2,Nokia,7.2,3500,6.3,Yes,1080,2340,8,4000,64,48,20,Android,Yes,Yes,No,2,Yes,Yes,15377,350.00 ,
84,Samsung Galaxy A50s,Samsung,Galaxy A50s,4000,6.4,Yes,1080,2340,8,4000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,16650,350.00 ,
85,Realme 5 Pro,Realme,5 Pro,4035,6.3,Yes,1080,2340,8,4000,64,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,11999,200.00 ,
86,Realme 5,Realme,5,5000,6.5,Yes,720,1600,8,3000,32,12,13,Android,Yes,Yes,Yes,2,Yes,Yes,8600,140.00 ,
87,Vivo Z1 Pro,Vivo,Z1 Pro,5000,6.53,Yes,1080,2340,8,4000,64,16,32,Android,Yes,Yes,Yes,2,Yes,Yes,12990,215.00 ,
88,Xiaomi Mi A3,Xiaomi,Mi A3,4030,6.08,Yes,720,1560,8,4000,64,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,11845,250.00 ,
89,Asus 6Z,Asus,6Z,5000,6.4,Yes,1080,2340,8,6000,64,48,48,Android,Yes,Yes,Yes,2,Yes,Yes,27999,500.00 ,
90,Samsung Galaxy M40,Samsung,Galaxy M40,3500,6.3,Yes,1080,2340,8,6000,128,32,16,Android,Yes,Yes,Yes,2,Yes,Yes,16879,290.00 ,
91,Redmi Note 7S,Xiaomi,Redmi Note 7S,4000,6.3,Yes,1080,2340,8,3000,32,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,8649,160.00 ,
92,Motorola One Vision,Motorola,One Vision,3500,6.3,Yes,1080,2520,8,4000,128,48,25,Android,Yes,Yes,Yes,2,Yes,Yes,13690,335.00 ,
93,Nubia Red Magic 3,Nubia,Red Magic 3,5000,6.65,Yes,1080,2340,8,8000,128,48,16,Android,Yes,Yes,No,2,Yes,Yes,35999,479.00 ,
94,Oppo A9,Oppo,A9,4020,6.53,Yes,1080,2340,8,4000,128,16,16,Android,Yes,Yes,No,2,Yes,Yes,11990,270.00 ,
95,Google Pixel 3a XL,Google,Pixel 3a XL,3700,6,Yes,1080,2160,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,34999,479.00 ,
96,Samsung Galaxy A70,Samsung,Galaxy A70,4500,6.7,Yes,1080,2400,8,6000,128,32,32,Android,Yes,Yes,Yes,2,Yes,Yes,22299,400.00 ,
97,Black Shark 2,Black Shark,2,4000,6.39,Yes,1080,2340,8,6000,128,48,20,Android,Yes,Yes,Yes,2,Yes,Yes,29999,480.00 ,
98,OnePlus 7,OnePlus,7,3700,6.41,Yes,1080,2340,8,6000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,29999,480.00 ,
99,LG G8s ThinQ,LG,G8s ThinQ,3550,6.2,Yes,1080,2248,8,6000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,39990,620.00 ,
100,Vivo V15 Pro,Vivo,V15 Pro,3700,6.39,Yes,1080,2340,8,6000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,17973,400.00 ,
101,Redmi Note 7,Xiaomi,Redmi Note 7,4000,6.3,Yes,1080,2340,8,3000,32,12,13,Android,Yes,Yes,Yes,2,Yes,Yes,9699,150.00 ,
102,Xiaomi Redmi 7,Xiaomi,Redmi 7,4000,6.26,Yes,720,1520,8,2000,16,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,7332,130.00 ,
103,Samsung Galaxy M20,Samsung,Galaxy M20,5000,6.3,Yes,1080,2340,8,3000,32,13,8,Android,No,Yes,Yes,2,Yes,Yes,9999,150.00 ,
104,Samsung Galaxy M30,Samsung,Galaxy M30,5000,6.4,Yes,1080,2340,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,9499,210.00 ,
105,Honor View 20,Honor,View 20,4000,6.4,Yes,1080,2310,8,6000,128,48,25,Android,Yes,Yes,Yes,1,No,No,25120,580.00 ,
106,Asus ZenFone Max Pro M2,Asus,ZenFone Max Pro M2,5000,6.26,Yes,1080,2280,8,3000,32,12,13,Android,Yes,Yes,Yes,2,Yes,Yes,11999,270.00 ,
107,Google Pixel 3a,Google,Pixel 3a,3000,5.6,Yes,1080,2220,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,30999,399.00 ,
108,Realme U1,Realme,U1,3500,6.3,Yes,1080,2340,8,3000,32,13,25,Android,Yes,Yes,Yes,2,Yes,Yes,8999,170.00 ,
109,Honor 10 Lite,Honor,10 Lite,3400,6.21,Yes,1080,2340,8,3000,32,13,24,Android,Yes,Yes,Yes,2,Yes,Yes,7999,200.00 ,
110,Nokia 8.1,Nokia,8.1,3500,6.18,Yes,1080,2244,8,4000,64,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,18000,400.00 ,
111,Samsung Galaxy A9 (2018),Samsung,Galaxy A9 (2018),3800,6.3,Yes,1080,2220,8,6000,128,24,24,Android,Yes,Yes,Yes,2,Yes,Yes,22000,600.00 ,
112,Oppo K1,Oppo,K1,3600,6.41,Yes,1080,2340,8,4000,64,16,25,Android,Yes,Yes,Yes,1,No,No,9990,230.00 ,
113,Nokia 7.1,Nokia,7.1,3060,5.84,Yes,1080,2280,8,4000,64,12,8,Android,Yes,Yes,Yes,2,No,No,11900,350.00 ,
114,Realme 2 Pro,Realme,2 Pro,3500,6.3,Yes,1080,2340,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,11770,190.00 ,
115,Vivo V9 Pro,Vivo,V9 Pro,3260,6.3,Yes,1080,2280,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,16490,275.00 ,
116,Samsung Galaxy A7 (2018),Samsung,Galaxy A7 (2018),3300,6,Yes,1080,2220,8,4000,64,24,24,Android,Yes,Yes,Yes,2,No,Yes,16490,330.00 ,
117,Xiaomi Redmi Note 6 Pro,Xiaomi,Redmi Note 6 Pro,4000,6.26,Yes,1080,2280,8,4000,64,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,9580,200.00 ,
118,Vivo V11 Pro,Vivo,V11 Pro,3400,6.41,Yes,1080,2340,8,6000,64,12,25,Android,Yes,Yes,Yes,2,Yes,Yes,14990,370.00 ,
119,Oppo R17 Pro,Oppo,R17 Pro,3700,6.4,Yes,1080,2340,8,8000,128,12,25,Android,Yes,Yes,Yes,2,Yes,Yes,21299,600.00 ,
120,Nokia 5.1 Plus,Nokia,5.1 Plus,3060,5.86,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6999,150.00 ,
121,Honor 8X,Honor,8X,3750,6.5,Yes,1080,2340,8,4000,64,20,16,Android,Yes,Yes,Yes,2,Yes,Yes,9999,250.00 ,
122,Poco F1,Poco,F1,4000,6.18,Yes,1080,2246,8,6000,64,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,14990,300.00 ,
123,Nokia 6.1 Plus,Nokia,6.1 Plus,3060,5.8,Yes,1080,2280,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,8999,230.00 ,
