,Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,year
307,Moto E5 Plus,Motorola,Moto E5 Plus,5000,6,Yes,720,1440,8,3000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,9399,180.00 ,
308,Nubia Red Magic,Nubia,Red Magic,3800,6,Yes,1080,2160,8,8000,128,24,8,Android,Yes,Yes,Yes,2,Yes,Yes,24860,400.00 ,
309,InFocus Vision 3 Pro,InFocus,Vision 3 Pro,4000,5.7,Yes,720,1440,8,4000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,7990,150.00 ,
310,Itel S42,Itel,S42,3000,5.65,Yes,720,1440,4,3000,16,13,13,Android,Yes,Yes,No,2,Yes,Yes,8480,135.00 ,
311,Huawei P20 Lite,Huawei,P20 Lite,3000,5.84,Yes,1080,2280,8,4000,64,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,12800,370.00 ,
312,Vivo V9,Vivo,V9,3260,6.3,Yes,1080,2280,8,4000,64,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,13740,355.00 ,
313,Moto G6 Play,Motorola,Moto G6 Play,4000,5.7,Yes,720,1440,8,3000,32,13,8,Android,Yes,Yes,No,2,No,Yes,8049,200.00 ,
314,Honor 7C,Honor,7C,3000,5.99,Yes,720,1440,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7799,140.00 ,
315,Moto G6,Motorola,Moto G6,3000,5.7,Yes,1080,2160,8,3000,32,12,16,Android,Yes,Yes,No,2,Yes,Yes,10499,250.00 ,
316,Smartron t.phone P,Smartron,t.phone P,5000,5.2,Yes,720,1280,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,10500,140.00 ,
317,Oppo A83,Oppo,A83,3180,5.7,Yes,720,1440,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6799,200.00 ,
318,Honor 9 Lite,Honor,9 Lite,3000,5.65,Yes,1080,2160,8,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,8929,170.00 ,
319,10.or D,10.or,D,3500,5.2,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,100.00 ,
320,InFocus Vision 3,InFocus,Vision 3,4000,5.7,Yes,720,1440,4,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6850,120.00 ,
321,Samsung Galaxy A8+ (2018),Samsung,Galaxy A8+ (2018),3500,6,Yes,1080,2220,8,6000,64,16,16,Android,Yes,Yes,Yes,1,No,No,16900,600.00 ,
322,Gionee S11 Lite,Gionee,S11 Lite,3030,5.7,Yes,720,1440,8,4000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,6319,200.00 ,
323,Vivo V7,Vivo,V7,3000,5.7,Yes,720,1440,8,4000,32,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,13990,300.00 ,
324,Redmi Y1,Xiaomi,Redmi Y1,3080,5.5,Yes,720,1280,8,2000,16,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,8490,140.00 ,
325,Redmi 5A,Xiaomi,Redmi 5A,3000,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7199,100.00 ,
326,Honor 7X,Honor,7X,3340,5.93,Yes,1080,2160,8,4000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,12722,200.00 ,
327,Honor Holly 4,Honor,Holly 4,3020,5,Yes,720,1280,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8499,150.00 ,
328,Gionee M7 Power,Gionee,M7 Power,5000,6,Yes,720,1440,8,4000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8890,300.00 ,
329,Vivo V7+,Vivo,V7+,3225,5.99,Yes,720,1440,8,4000,64,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,10990,350.00 ,
330,Asus ZenFone 4 Selfie Pro,Asus,ZenFone 4 Selfie Pro,3000,5.5,Yes,1080,1920,8,4000,64,16,12,Android,Yes,Yes,Yes,2,Yes,Yes,25999,380.00 ,
331,LG Q6,LG,Q6,3000,5.5,Yes,1080,2160,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8948,300.00 ,
332,Oppo F3,Oppo,F3,3200,5.5,Yes,1080,1920,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,11990,320.00 ,
333,Smartron srt.phone,Smartron,srt.phone,3000,5.5,Yes,1080,1920,8,4000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5999,180.00 ,
334,Vivo V5s,Vivo,V5s,3000,5.5,Yes,720,1280,8,4000,64,13,20,Android,Yes,Yes,Yes,2,Yes,Yes,12990,300.00 ,
335,Micromax Evok Power,Micromax,Evok Power,4000,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,No,2,No,Yes,5499,110.00 ,
336,Lava Z25,Lava,Z25,3020,5.5,Yes,720,1280,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,12000,220.00 ,
337,Nubia M2,Nubia,M2,3630,5.5,Yes,1080,1920,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,12990,390.00 ,
338,Cat S60,Cat,S60,3800,4.7,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,39999,600.00 ,
339,Coolpad Note 5 Lite,Coolpad,Note 5 Lite,2500,5,Yes,720,1280,4,3000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,4290,120.00 ,
340,Gionee A1,Gionee,A1,4010,5.5,Yes,1080,1920,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,9999,250.00 ,
341,Sony Xperia XA1 Ultra,Sony,Xperia XA1 Ultra,2700,6,Yes,1080,1920,8,4000,64,23,16,Android,Yes,Yes,Yes,2,No,Yes,5994,400.00 ,
342,Sony Xperia XZs,Sony,Xperia XZs,2900,5.2,Yes,1080,1920,4,4000,32,19,13,Android,Yes,Yes,Yes,2,Yes,Yes,29990,700.00 ,
343,Gionee A1 Plus,Gionee,A1 Plus,4550,6,Yes,1080,1920,8,4000,64,13,20,Android,Yes,Yes,Yes,2,Yes,Yes,994,300.00 ,
344,Motorola Moto G5,Motorola,Moto G5,2800,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5450,210.00 ,
345,Honor 8 Lite,Honor,8 Lite,3000,5.2,Yes,1080,1920,8,4000,64,12,8,Android,Yes,Yes,No,2,Yes,Yes,14933,260.00 ,
346,Vivo V5 Plus,Vivo,V5 Plus,3055,5.5,Yes,1080,1920,8,4000,64,16,20,Android,Yes,Yes,Yes,2,Yes,Yes,12500,400.00 ,
347,Nokia 6,Nokia,6,3000,5.5,Yes,1080,1920,8,2000,16,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,7250,230.00 ,
348,Samsung Galaxy A7 (2017),Samsung,Galaxy A7 (2017),3600,5.7,Yes,1080,1920,8,3000,32,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,25900,400.00 ,
349,Samsung Galaxy A5 (2017),Samsung,Galaxy A5 (2017),3000,5.2,Yes,1080,1920,8,3000,32,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,18999,380.00 ,
350,Coolpad Note 3S,Coolpad,Note 3S,2500,5.5,Yes,720,1080,8,3000,32,13,5,Android,Yes,Yes,No,2,Yes,Yes,8990,150.00 ,
351,Oppo A57,Oppo,A57,2900,5.2,Yes,720,1280,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,12000,230.00 ,
352,Vivo V5,Vivo,V5,3000,5.5,Yes,720,1280,8,4000,32,13,20,Android,Yes,Yes,Yes,2,Yes,Yes,16541,265.00 ,
353,Asus ZenFone 3 Max (ZC553KL),Asus,ZenFone 3 Max (ZC553KL),4100,5.5,Yes,1080,1920,8,2000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,8599,200.00 ,
354,Lyf F1,Lyf,F1,3200,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,6499,200.00 ,
355,InFocus Epic 1,InFocus,Epic 1,3000,5.5,Yes,1080,1920,10,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,10999,190.00 ,
356,Honor 6X,Honor,6X,3340,5.5,Yes,1080,1920,8,3000,32,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,13999,150.00 ,
357,Intex Aqua S7,Intex,Aqua S7,3200,5,Yes,720,1280,1,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5499,150.00 ,
358,Lenovo P2,Lenovo,P2,5100,5.5,Yes,1080,1920,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,16999,250.00 ,
359,Lenovo K6 Note,Lenovo,K6 Note,4000,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,8890,210.00 ,
360,Gionee S6s,Gionee,S6s,3150,5.5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,12000,315.00 ,
361,Coolpad Cool 1 Dual,Coolpad,Cool 1 Dual,4000,5.5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,12639,220.00 ,
362,Oppo F1s,Oppo,F1s,3075,5.5,Yes,720,1280,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,15990,270.00 ,
363,BlackBerry DTEK50,BlackBerry,DTEK50,2610,5.2,Yes,1080,1920,8,3000,16,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,11999,300.00 ,
364,Asus ZenFone 3 Laser,Asus,ZenFone 3 Laser,3000,5.5,Yes,1080,1920,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,5499,270.00 ,
365,Lenovo Phab 2 Plus,Lenovo,Phab 2 Plus,4050,6.4,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,9999,300.00 ,
366,Yu Yunicorn,Yu,nicorn,4000,5.5,Yes,1080,1920,8,4000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,200.00 ,
367,Coolpad Note 3 Plus,Coolpad,Note 3 Plus,3000,5.5,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6249,135.00 ,
368,LeEco Le 1s Eco,LeEco,Le 1s Eco,3000,5.5,Yes,1080,1920,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7990,150.00 ,
369,Vivo V3Max,Vivo,V3Max,3000,5.5,Yes,1080,1920,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,17979,360.00 ,
370,Oppo F1 Plus,Oppo,F1 Plus,2850,5.5,Yes,1080,1920,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,17990,400.00 ,
371,InFocus Bingo 50,InFocus,Bingo 50,2500,5,Yes,720,1280,4,3000,16,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,9990,125.00 ,
372,Lenovo Vibe K5,Lenovo,Vibe K5,2750,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5999,150.00 ,
373,Lenovo Vibe K5 Plus,Lenovo,Vibe K5 Plus,2750,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7999,180.00 ,
374,Xolo Era 4K,Xolo,Era 4K,4000,5,Yes,720,1280,4,2000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,130.00 ,
375,LG X screen,LG,X screen,2300,4.93,Yes,720,1280,4,2000,16,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,7990,300.00 ,
376,Coolpad Note 3 Lite,Coolpad,Note 3 Lite,2500,5,Yes,720,1280,4,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,105.00 ,
377,Lenovo Vibe K4 Note,Lenovo,Vibe K4 Note,3300,5.5,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8990,180.00 ,
378,Gionee Marathon M5 Plus,Gionee,Marathon M5 Plus,5020,6,Yes,1080,1920,8,3000,64,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,23900,400.00 ,
379,Intex Aqua GenX,Intex,Aqua GenX,2850,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9630,200.00 ,
380,Yu Yutopia,Yu,topia,3000,5.2,Yes,1440,2560,8,4000,32,21,8,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,29999,375.00 ,
381,InFocus M680,InFocus,M680,2600,5.5,Yes,1080,1920,8,2000,16,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,4990,190.00 ,
382,Gionee Marathon M5 Lite,Gionee,Marathon M5 Lite,4000,5,Yes,720,1280,4,3000,32,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,7499,150.00 ,
383,Gionee S6,Gionee,S6,3150,5.5,Yes,720,1280,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,15998,300.00 ,
384,Motorola Moto G Turbo Edition,Motorola,Moto G Turbo Edition,2470,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,16999,220.00 ,
385,Micromax Canvas 5,Micromax,Canvas 5,2900,5.2,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6800,200.00 ,
386,Honor 5X,Honor,5X,3000,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7400,200.00 ,
387,Coolpad Note 3,Coolpad,Note 3,3000,5.5,Yes,720,1280,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9499,150.00 ,
388,HTC One E9s Dual SIM,HTC,One E9s Dual SIM,2600,5.5,Yes,720,1280,8,2000,16,13,4,Android,Yes,Yes,Yes,2,Yes,Yes,6999,300.00 ,
389,Yu Yunique,Yu,nique,2000,4.7,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,4695,90.00 ,
390,Sony Xperia Z5 Dual,Sony,Xperia Z5 Dual,2900,5.2,Yes,1080,1920,8,3000,32,23,5,Android,Yes,Yes,Yes,2,Yes,Yes,45999,700.00 ,
391,Acer Liquid Z630s,Acer,Liquid Z630s,4000,5.5,Yes,720,1280,8,3000,32,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,7190,200.00 ,
392,Xiaomi Redmi 2 Prime,Xiaomi,Redmi 2 Prime,2200,4.7,Yes,720,1280,4,2000,16,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,6999,110.00 ,
393,Asus ZenFone Max,Asus,ZenFone Max,5000,5.5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,200.00 ,
394,Asus ZenFone 2 Deluxe,Asus,ZenFone 2 Deluxe,3000,5.5,Yes,1080,1920,4,4000,64,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,16999,400.00 ,
395,Gionee Marathon M4,Gionee,Marathon M4,5000,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4400,250.00 ,
396,Asus ZenFone 2 Laser (ZE550KL),Asus,ZenFone 2 Laser (ZE550KL),3000,5.5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,12999,200.00 ,
397,Motorola Moto X Style,Motorola,Moto X Style,3000,5.7,Yes,1440,2560,6,3000,16,21,5,Android,Yes,Yes,Yes,2,Yes,Yes,20999,400.00 ,
398,InFocus M812,InFocus,M812,2900,5.5,Yes,1080,1920,4,3000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7916,300.00 ,
399,Xolo Black,Xolo,Black,3200,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,11936,200.00 ,
400,Phicomm Passion 660,Phicomm,Passion 660,2300,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,3238,200.00 ,
401,Coolpad Dazen X7,Coolpad,Dazen X7,2700,5.2,Yes,1080,1920,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,4999,280.00 ,
402,Yu Yuphoria,Yu,phoria,2230,5,Yes,720,1280,4,2000,16,8,5,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,8999,110.00 ,
403,Honor 4C,Honor,4C,2550,5,Yes,720,1280,8,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,No,8999,140.00 ,
404,Lenovo A6000 Plus,Lenovo,A6000 Plus,2300,5,Yes,720,1280,4,2000,16,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,6399,120.00 ,
405,Lenovo A7000,Lenovo,A7000,2900,5.5,Yes,720,1280,8,2000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,6666,150.00 ,
406,Motorola Moto E (Gen 2),Motorola,Moto E (Gen 2),2390,4.5,Yes,540,960,4,1000,8,5,0.3,Android,Yes,Yes,Yes,1,Yes,No,4999,120.00 ,
407,HTC Desire 526G+ Dual SIM,HTC,Desire 526G+ Dual SIM,2000,4.7,Yes,540,960,8,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,9000,160.00 ,
408,Lenovo A6000,Lenovo,A6000,2300,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,5000,110.00 ,
409,Asus ZenFone Zoom,Asus,ZenFone Zoom,3000,5.5,Yes,1080,1920,4,4000,64,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,15999,400.00 ,
410,Xiaomi Redmi 2,Xiaomi,Redmi 2,2200,4.7,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,5399,110.00 ,
411,Lava Iris Fuel 60,Lava,Iris Fuel 60,4000,5,Yes,720,1280,4,1000,8,10,2,Android,Yes,Yes,Yes,2,Yes,No,4299,130.00 ,
412,Vivo Y15,Vivo,Y15,1900,4.5,Yes,480,854,4,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,6539,150.00 ,
413,Micromax Canvas Selfie,Micromax,Canvas Selfie,2300,4.7,Yes,720,1280,8,2000,16,13,13,Android,Yes,Yes,Yes,2,Yes,No,13895,250.00 ,
414,Honor 4X,Honor,4X,3000,5.5,Yes,720,1280,4,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999,150.00 ,
415,Xolo Q2100,Xolo,Q2100,2800,5.5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,6998,200.00 ,
416,Micromax Canvas 4 Plus,Micromax,Canvas 4 Plus,2000,5,Yes,720,1280,8,1000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,5490,200.00 ,
417,Micromax Canvas A1,Micromax,Canvas A1,1700,4.5,Yes,480,854,4,1000,4,5,2.4,Android,Yes,Yes,Yes,2,Yes,No,4795,105.00 ,
418,Karbonn Sparkle V,Karbonn,Sparkle V,1700,4.5,No,480,854,4,1000,4,5,2.4,Android,Yes,Yes,Yes,2,Yes,No,2899,105.00 ,
419,Spice Dream Uno,Spice,Dream Uno,1700,4.5,No,480,854,4,1000,4,5,2.4,Android,Yes,Yes,Yes,2,Yes,No,7490,105.00 ,
420,Micromax Canvas Nitro,Micromax,Canvas Nitro,2500,5,Yes,720,1280,8,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,No,4999,180.00 ,
421,Nokia Lumia 830,Nokia,Lumia 830,2200,5,Yes,720,1280,4,1000,16,10,0.9,Windows,Yes,Yes,Yes,1,Yes,Yes,19999,450.00 ,
422,HTC Desire 820,HTC,Desire 820,2600,5.5,Yes,720,1280,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,25999,330.00 ,
423,Samsung Galaxy Alpha,Samsung,Galaxy Alpha,1860,4.7,Yes,720,1280,8,2000,32,12,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,9999,600.00 ,
424,Xolo 8X-1000,Xolo,8X-1000,1920,5,Yes,720,1280,8,2000,16,8,2,Android,Yes,Yes,Yes,2,Yes,No,5499,200.00 ,
425,Spice Stellar 520,Spice,Stellar 520,2000,5,Yes,720,1280,4,1000,4,8,2,Android,Yes,Yes,Yes,2,Yes,No,4999,150.00 ,
426,Xiaomi Redmi 1S,Xiaomi,Redmi 1S,2000,4.7,Yes,720,1280,4,1000,8,8,1.6,Android,Yes,Yes,Yes,2,Yes,No,5999,100.00 ,
427,Honor 6,Honor,6,3000,5,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,14999,300.00 ,
428,Oppo N1 Mini,Oppo,N1 Mini,2140,5,Yes,720,1280,4,2000,16,13,0,Android,Yes,Yes,Yes,1,Yes,Yes,9990,430.00 ,
429,Xolo Q1200,Xolo,Q1200,2000,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,1,Yes,No,13667,200.00 ,
430,Panasonic P81,Panasonic,P81,2500,5.5,Yes,720,1280,8,1000,8,13,2,Android,Yes,Yes,Yes,2,Yes,No,11900,250.00 ,
431,Motorola Moto E,Motorola,Moto E,1980,4.3,Yes,540,960,2,1000,4,5,0,Android,Yes,Yes,Yes,2,Yes,No,4999,130.00 ,
432,Oppo R1,Oppo,R1,2410,5,Yes,720,1280,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,No,11735,400.00 ,
433,Xolo Q1010i,Xolo,Q1010i,2250,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,13606,200.00 ,
434,Micromax Canvas Knight,Micromax,Canvas Knight,2350,5,Yes,1080,1920,8,2000,32,16,8,Android,Yes,Yes,Yes,2,Yes,No,5999,320.00 ,
435,HTC Desire 816,HTC,Desire 816,2600,5.5,Yes,720,1280,4,1000,8,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,27390,350.00 ,
436,Nokia X Dual SIM,Nokia,X Dual SIM,1500,4,Yes,480,800,2,512,4,3,0,Cyanogen,Yes,Yes,Yes,2,Yes,No,7999,150.00 ,
437,Lenovo S660,Lenovo,S660,3000,4.7,Yes,540,960,4,1000,8,8,0.3,Android,Yes,Yes,Yes,2,Yes,No,6700,230.00 ,
438,Gionee Elife S5.5,Gionee,Elife S5.5,2300,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,1,Yes,No,10999,370.00 ,
439,LG G Pro 2,LG,G Pro 2,3200,5.9,Yes,1080,1920,4,3000,16,13,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,42021,600.00 ,
440,Xolo Q1100,Xolo,Q1100,2000,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,13677,200.00 ,
441,Samsung Galaxy Note 3 Neo,Samsung,Galaxy Note 3 Neo,3100,5.5,Yes,720,1280,6,2000,16,8,2,Android,Yes,Yes,Yes,1,Yes,Yes,11250,500.00 ,
442,Asus ZenFone 6,Asus,ZenFone 6,3300,6,Yes,720,1280,2,2000,16,13,2,Android,Yes,Yes,Yes,2,Yes,No,8891,300.00 ,
443,Nokia Asha 502,Nokia,Asha 502,1010,3,Yes,240,320,1,64,0.064,5,0,Cyanogen,Yes,Yes,No,2,No,No,3499,90.00 ,
444,Nokia Lumia 1020,Nokia,Lumia 1020,2000,4.5,Yes,768,1280,2,2000,32,41,1.2,Windows,Yes,Yes,Yes,1,Yes,Yes,10990,650.00 ,
445,Spice Pinnacle FHD,Spice,Pinnacle FHD,2100,5,Yes,1080,1920,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,5999,300.00 ,
446,Gionee Elife E6,Gionee,Elife E6,2000,5,Yes,1080,1920,4,2000,32,13,5,Android,Yes,Yes,Yes,1,Yes,No,21450,400.00 ,
447,Micromax Canvas 4,Micromax,Canvas 4,2000,5,Yes,720,1280,4,1000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,5199,295.00 ,
448,Lava Iris 504q,Lava,Iris 504q,2000,5,Yes,720,1280,4,1000,4,8,2,Android,Yes,Yes,Yes,2,Yes,No,9499,230.00 ,
449,BlackBerry Q5,BlackBerry,Q5,2180,3.1,Yes,720,720,2,2000,8,5,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,10800,400.00 ,
450,BlackBerry Q10,BlackBerry,Q10,2100,3.1,Yes,720,720,1,2000,16,8,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,9899,600.00 ,
451,Lenovo P780,Lenovo,P780,4000,5,Yes,720,1280,4,1000,4,8,0.3,Android,Yes,Yes,Yes,2,Yes,No,15410,190.00 ,
452,Sony Xperia U,Sony,Xperia U,1320,3.5,Yes,480,854,2,512,8,5,0.3,Android,Yes,Yes,Yes,1,Yes,No,4990,300.00 ,
453,Sony Xperia SP,Sony,Xperia SP,2370,4.6,Yes,720,1280,2,1000,8,8,0.3,Android,Yes,Yes,Yes,1,Yes,Yes,21490,400.00 ,
454,Samsung Galaxy Y Pro Duos,Samsung,Galaxy Y Pro Duos,1350,2.6,Yes,240,320,1,384,0.16,3.2,0.3,Android,Yes,Yes,Yes,2,Yes,No,5555,200.00 ,
455,Samsung Galaxy Mega 5.8,Samsung,Galaxy Mega 5.8,2600,5.8,Yes,540,960,2,1000,8,8,1.9,Android,Yes,Yes,Yes,2,Yes,No,6999,450.00 ,
456,Nokia Lumia 620,Nokia,Lumia 620,1300,3.8,Yes,480,800,2,512,8,5,0.3,Windows,Yes,Yes,Yes,1,Yes,No,4999,250.00 ,
457,Nokia Lumia 820,Nokia,Lumia 820,1650,4.3,Yes,480,800,2,1000,8,8,0.3,Windows,Yes,Yes,Yes,1,Yes,No,19660,500.00 ,
458,LG Optimus G,LG,Optimus G,2100,4.7,Yes,768,1280,4,2000,32,13,1.3,Android,Yes,Yes,Yes,1,Yes,No,9999,600.00 ,
459,HTC One S,HTC,One S,1650,4.3,Yes,540,960,2,1000,16,8,0.3,Android,Yes,Yes,Yes,1,Yes,No,17172,600.00 ,
460,BlackBerry Z10,BlackBerry,Z10,1800,4.2,Yes,768,1280,2,2000,16,8,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,5500,700.00 ,
461,Infinix S5 Lite,Infinix,S5 Lite,4000,6.5,Yes,720,1600,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,8999,120.00 ,
462,Infinix S5,Infinix,S5,4000,6.6,Yes,720,1600,8,4000,64,16,32,Android,Yes,Yes,Yes,2,Yes,Yes,8999,150.00 ,
463,Moto E6s,Motorola,Moto E6s,3000,6.1,Yes,720,1560,8,4000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6999,130.00 ,
464,Tecno Camon i4,Tecno,Camon i4,3500,6.2,Yes,720,1520,4,2000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,6933,140.00 ,
465,Nokia 4.2,Nokia,4.2,3000,5.71,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,1,No,No,7999,190.00 ,
466,Nokia 3.2,Nokia,3.2,4000,6.26,Yes,720,1520,4,2000,16,13,5,Android,Yes,Yes,Yes,1,No,No,6690,150.00 ,
467,Samsung Galaxy M10,Samsung,Galaxy M10,3400,6.22,Yes,720,1520,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6999,130.00 ,
