Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
Alcatel Idol 4,Alcatel,Idol 4,2610,5.2,Yes,1080,1920,8,3000,16,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,16999,$280 ,16-Feb,360.64,5.887880231
Intex Aqua Ace Mini,Intex,Aqua Ace Mini,3000,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,6849,$120 ,16-Feb,154.56,5.04058237
Swipe Konnect 5.1,Swipe,Konnect 5.1,3000,5,Yes,480,854,4,1000,8,8,3.2,Android,Yes,Yes,Yes,2,Yes,No,4099,$60 ,16-Feb,77.28,4.34743519
LG Stylus 2,LG,Stylus 2,3000,5.7,Yes,720,1280,4,1000,16,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,7999,$300 ,16-Feb,386.4,5.956873102
Intex Cloud Crystal 2.5D,Intex,Cloud Crystal 2.5D,2200,5,Yes,720,1280,4,3000,16,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,6800,$90 ,16-Feb,115.92,4.752900298
Intex Aqua Freedom,Intex,Aqua Freedom,3000,5,Yes,720,1280,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,3099,$80 ,16-Feb,103.04,4.635117262
Microsoft Lumia 650,Microsoft,Lumia 650,2000,5,Yes,720,1280,4,1000,16,8,5,Windows,Yes,Yes,Yes,1,Yes,Yes,9990,$200 ,16-Feb,257.6,5.551407994
LG X cam,LG,X cam,2520,5.2,Yes,1080,1920,8,2000,16,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,8000,$300 ,16-Feb,386.4,5.956873102
Intex Aqua Craze,Intex,Aqua Craze,2500,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,2999,$90 ,16-Feb,115.92,4.752900298
Intex Aqua Lite,Intex,Aqua Lite,1400,4,Yes,480,800,4,512,4,2,2,Android,Yes,Yes,Yes,2,Yes,No,2799,$60 ,16-Feb,77.28,4.34743519
Lava X11,Lava,X11,2500,5,Yes,720,1280,4,2000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,7980,$120 ,16-Feb,154.56,5.04058237
Lava A88,Lava,A88,2000,5,Yes,720,1280,4,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,4949,$90 ,16-Feb,115.92,4.752900298
Lenovo Vibe P1 Turbo,Lenovo,Vibe P1 Turbo,5000,5.5,Yes,1080,1920,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7679,$300 ,16-Feb,386.4,5.956873102
Lava A71,Lava,A71,2500,5,Yes,720,1280,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,3990,$100 ,16-Feb,128.8,4.858260814
Intex Aqua Wing,Intex,Aqua Wing,1500,4,Yes,480,800,1,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,Yes,2990,$68 ,16-Feb,87.584,4.472598333
Intex Aqua Raze,Intex,Aqua Raze,1800,4.5,Yes,480,854,1,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,4999,$77 ,16-Feb,99.176,4.59689605
