asin,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
B09QLS9KB9,,,,,,,,,,,,,,,785.07,796.73,689,,,,943.43,947,944.71,964,957,939,992
B09SQB87HR,,,,,,,,,,,,,,671.4,483.82,383.37,430.25,428.11,410.31,415.23,375.29,392.23,553.96,584.49,571.77,610,
B09TBG1S1Y,,,,,,,,,,,,,,1543.67,1463.07,1033.36,1074.14,888,868,848,929.31,867.25,1086,1080,1073,1065.33,
B09V1NGFN4,,,,,,,,,,,,,,698.39,633.49,492.65,417.46,403.97,370.39,357.12,374.56,324.58,259.16,243.97,244.82,232.33,223.78
B09VCCRQQC,,,,,,,,,,,,,,,,,621.59,617.29,528,506.85,511.4,474.51,530,532.25,534.5,,
B09VD33WHW,,,,,,,,,,,,,,1079.99,951.34,817.45,676.58,739.42,660.23,612.28,570.92,508.4,410.85,393.09,388.11,376.28,360.95
B09VH9BKHS,,,,,,,,,,,,,,,729.18,646.32,470.5,458.78,430.89,442.85,423.97,369.43,298.09,283.99,290.3,270.67,254
B09VX9S6F9,,,,,,,,,,,,,,,595.57,554.26,488.78,464.03,431.88,442.23,439.93,372.97,300.68,278.74,303.88,277.95,264.79
B09WVJ6125,,,,,,,,,,,,,,,552.14,470.15,544.48,404.52,396.69,383.69,378.16,373.98,369.21,,,,
B0B352LM95,,,,,,,,,,,,,,,553.89,553.09,487.4,499,467,445.86,433.88,425,421.96,427.89,415,398,
B0B457HRNJ,,,,,,,,,,,,,,,499.99,427.29,329.28,234.82,273.99,176.3,218.93,237.68,203.36,185.96,207.85,219.91,
B0B5Y5H47D,,,,,,,,,,,,,,,,885.99,782.88,841.01,714.05,664.35,638.87,568.74,470.04,442.26,432.3,443.64,408.41
B0B6D53G2V,,,,,,,,,,,,,,,,804.57,606.64,578.64,500.63,489.07,482.75,425.5,347.06,329.71,324.77,318.43,289.86
B0B88S72TV,,,,,,,,,,,,,,,,767,751.92,759,647.22,638,653.65,459.81,535.66,581.32,546.49,550.62,564.5
B0B981KM58,,,,,,,,,,,,,,,,,,649.73,588.7,482.61,440.44,400.87,345.51,392.78,384.94,319.88,379.99
B0BD1P1396,,,,,,,,,,,,,,,,,1084.22,1206.86,1096.47,948.98,792.6,698.94,647.27,672.9,553.33,544.04,547.78
B0BDT28R8B,,,,,,,,,,,,,,,,493.5,562.14,499,,,524.9,555.01,485.43,508.54,673,661.38,
B0BKRQKPZW,,,,,,,,,,,,,,,,,,,415.56,542.93,710.09,,724.34,749.67,740.33,731,765
B0BKTHWNV7,,,,,,,,,,,,,,,,,1023.38,1348.36,1105.15,961.28,768.12,648.34,596.31,620,512.43,567.92,648.44
B0BKTLMV59,,,,,,,,,,,,,,,,,668.12,655.28,552.55,506.05,343.61,318.6,320.07,320.51,330.02,325.8,308.71
B0BKTLR7VR,,,,,,,,,,,,,,,,,843.62,851.43,746.23,680.59,453.8,402.93,400.54,399.77,407.22,359.31,331.76
B0BN72FYFG,,,,,,,,,,,,,,,,,783.11,698.51,669.73,634.05,576.58,523.44,472.35,462.03,427.06,364.47,343.95
B0BN72MLT2,,,,,,,,,,,,,,,,,890.22,791.41,718.53,704.38,654.91,591.33,536.13,545.97,496.96,419.91,404.08
B0BN7CXGWG,,,,,,,,,,,,,,,,,1049,888.67,798.23,794.72,714.29,681.36,669.98,610.01,584.68,502.65,485.26
B0BN93P98N,,,,,,,,,,,,,,,,,1471.86,1322.48,1157.73,1008.63,905.31,839.98,803.85,763.36,665.2,636.11,627.2
B0BN9426PP,,,,,,,,,,,,,,,,,871.59,744.86,730.44,681.82,610.67,573.08,508.98,509.31,487.06,412.47,394.1
B0BN94DL3R,,,,,,,,,,,,,,,,,1275.74,1192.08,1007.86,924.67,849.17,815.45,772.21,726.99,623.62,578.91,557.76
B0BN94GXPV,,,,,,,,,,,,,,,,,,825.79,791.34,782.6,707.88,614.89,577.83,583.92,540.97,460.66,452.29
B0BN952L3Y,,,,,,,,,,,,,,,,,1667.49,1508.66,1259.53,1169.95,962.53,903.01,860.06,821.34,711.55,667.46,674.71
B0BN95FRW9,,,,,,,,,,,,,,,,,1093.2,1001.74,903.46,855.88,744.56,681.24,655.82,622.16,532.38,477.22,472.66
B0BN96CCM6,,,,,,,,,,,,,,,,,1271.55,1097.72,1010.62,942.64,798.2,728.22,697.24,686.1,565.26,511.12,504.88
B0BN96QJ94,,,,,,,,,,,,,,,,,1360.64,1238.52,1067.19,1051.12,945.82,815.94,767.38,777.89,634.54,560.65,548.11
B0BN97HDLB,,,,,,,,,,,,,,,,,,999.18,918.33,922.09,818.32,671.05,658.18,669.11,616.81,574.27,544.64
B0BNWPSCGB,,,,,,,,,,,,,,,,,,861.04,792.72,790.51,729.62,888.37,844.96,822.99,882.22,880.08,814.95
B0BSCHC7TS,,,,,,,,,,,,,,,,,,549.99,486.66,529,415.1,377.67,360.33,358.24,301.09,271.27,271
